iteration,seed,fitness,total_existing,total_planted,exist_AG_LEC,exist_AG_SAL,exist_AG_SCB,exist_AG_STR,exist_OP_CAN,exist_OP_ENG,exist_OP_ROB,exist_OP_STR,exist_PR_LAE,exist_YU_FIL,new_AG_LEC,new_AG_SAL,new_AG_SCB,new_AG_STR,new_OP_CAN,new_OP_ENG,new_OP_ROB,new_OP_STR,new_PR_LAE,new_YU_FIL
79,297903,691.7645161290322,74,551,10,30,6,2,7,4,4,4,6,1,30,156,34,38,40,32,65,57,75,24
80,101888,694.3935483870966,74,551,6,28,1,2,4,3,6,8,12,4,34,158,39,38,43,33,63,53,69,21
81,995203,695.3053763440861,74,551,4,22,2,4,7,5,8,10,9,3,36,164,38,36,40,31,61,51,72,22
82,191558,686.5129032258064,68,557,5,23,4,4,4,9,11,2,5,1,35,163,36,36,43,27,58,59,76,24
83,537755,696.0430107526881,74,551,4,26,3,3,5,3,7,7,10,6,36,160,37,37,42,33,62,54,71,19
84,970337,691.1774193548387,69,556,4,15,6,3,4,5,12,9,9,2,36,171,34,37,43,31,57,52,72,23
85,998107,698.0032258064516,68,557,7,20,3,7,4,1,7,5,9,5,33,166,37,33,43,35,62,56,72,20
86,752736,689.8129032258064,67,558,2,21,5,4,6,6,5,5,9,4,38,165,35,36,41,30,64,56,72,21
87,188385,693.221505376344,73,552,7,16,9,6,6,4,9,6,10,0,33,170,31,34,41,32,60,55,71,25
88,866462,696.0946236559139,74,551,3,30,9,4,1,0,5,8,11,3,37,156,31,36,46,36,64,53,70,22
89,644088,695.558064516129,74,551,5,23,1,2,7,9,10,6,11,0,35,163,39,38,40,27,59,55,70,25
90,512519,701.6806451612903,70,555,8,20,2,4,5,7,10,5,9,0,32,166,38,36,42,29,59,56,72,25
91,675320,692.6645161290322,73,552,5,23,2,6,8,2,8,5,13,1,35,163,38,34,39,34,61,56,68,24
92,383065,695.9086021505376,72,553,5,21,4,2,7,7,8,5,11,2,35,165,36,38,40,29,61,56,70,23
93,448183,695.8150537634407,72,553,1,20,6,3,3,11,11,3,10,4,39,166,34,37,44,25,58,58,71,21
94,387890,690.8279569892472,71,554,5,23,5,3,9,2,7,8,6,3,35,163,35,37,38,34,62,53,75,22
95,161309,686.2946236559139,71,554,5,18,2,4,6,6,11,8,7,4,35,168,38,36,41,30,58,53,74,21
96,329571,697.0268817204301,63,562,3,20,3,2,4,9,10,3,7,2,37,166,37,38,43,27,59,58,74,23
97,651149,703.0698924731182,74,551,1,20,6,3,6,3,12,8,12,3,39,166,34,37,41,33,57,53,69,22
98,837428,698.2752688172043,71,554,2,20,2,3,10,10,10,2,8,4,38,166,38,37,37,26,59,59,73,21
99,469645,685.9430107526881,77,548,4,24,5,5,9,6,12,3,7,2,36,162,35,35,38,30,57,58,74,23
100,649866,692.8860215053763,68,557,2,21,5,7,5,2,8,5,9,4,38,165,35,33,42,34,61,56,72,21
101,626811,690.0838709677419,69,556,4,21,1,5,6,3,7,6,14,2,36,165,39,35,41,33,62,55,67,23
102,717371,702.7655913978494,74,551,6,24,3,4,6,1,8,6,15,1,34,162,37,36,41,35,61,55,66,24
103,746856,690.5774193548386,75,550,7,26,7,4,5,4,5,6,9,2,33,160,33,36,42,32,64,55,72,23
104,636167,692.8559139784945,72,553,4,19,4,2,6,6,7,12,8,4,36,167,36,38,41,30,62,49,73,21
105,762147,691.5172043010751,75,550,4,23,4,8,6,2,9,5,11,3,36,163,36,32,41,34,60,56,70,22
106,275732,686.6430107526882,75,550,5,19,2,4,5,2,12,11,14,1,35,167,38,36,42,34,57,50,67,24
107,691288,688.9064516129032,71,554,8,16,4,4,4,6,5,9,13,2,32,170,36,36,43,30,64,52,68,23
108,161765,692.9279569892473,70,555,5,20,5,5,7,6,4,7,7,4,35,166,35,35,40,30,65,54,74,21
109,612917,691.8720430107526,63,562,2,21,1,6,6,4,8,5,10,0,38,165,39,34,41,32,61,56,71,25
110,171362,695.7032258064515,70,555,1,26,2,5,10,4,5,8,8,1,39,160,38,35,37,32,64,53,73,24
111,668663,693.2430107526882,73,552,3,16,6,5,6,2,13,9,9,4,37,170,34,35,41,34,56,52,72,21
112,997400,698.1924731182796,73,552,4,27,3,2,4,3,7,6,12,5,36,159,37,38,43,33,62,55,69,20
113,235856,695.8043010752688,68,557,5,20,5,7,2,3,7,8,8,3,35,166,35,33,45,33,62,53,73,22
